Before,After
18,18
2,2
2,2
2,2
2,2
4,4
2,2
2,2
2,2
4,4
4,4
2,2
2,2
2,2
4,4
8,9
23,25
8,8
24,26
9,10
19,0
28,26
10,13
0,12
14,1
0,5
8,0
0,0
0,19
58,59
11,13
3,3
18,20
0,6
32,36
21,13
5,2
28,28
2,2
2,2
2,2
2,2
5,5
14,14
2,2
35,35
2,2
2,2
2,2
10,10
28,27
9,9
1,1
10,10
3,3
6,6
16,16
19,17
67,59
21,18
7,4
9,7
3,3
18,14
3,0
4,4
0,2
37,29
1,1
1,0
7,6
20,20
4,5
21,21
0,0
11,12
4,3
7,6
0,0
28,30
4,4
11,16
16,0
2,2
17,17
16,17
21,20
5,5
0,3
0,2
5,5
18,18
13,15
8,10
21,21
8,8
11,11
0,1
13,24
12,22
3,3
3,3
8,8
7,7
7,6
18,19
1,1
35,35
13,13
32,31
5,5
0,0
10,15
9,9
12,13
6,6
8,8
12,17
0,6
27,26
9,9
13,13
8,8
7,7
7,7
7,7
7,7
12,12
7,7
7,7
14,15
6,7
9,10
4,4
6,7
26,0
0,27
5,4
10,10
86,86
0,5
2,1
3,1
8,8
0,0
0,1
6,6
0,0
4,0
8,9
16,16
4,0
8,8
9,0
0,8
4,0
8,8
59,59
5,5
3,3
19,19
12,11
26,26
15,16
14,14
3,3
14,17
2,2
0,8
5,5
8,0
8,8
16,16
7,7
8,8
6,7
5,5
18,18
0,1
26,23
2,2
38,37
11,11
22,18
12,10
1,0
14,15
5,4
3,0
33,8
2,0
10,11
0,3
127,125
13,13
21,22
16,19
15,10
7,7
26,26
35,35
31,29
3,3
18,21
1,1
2,2
0,2
2,2
22,15
22,17
24,18
7,4
23,22
0,14
0,8
3,3
3,3
25,3
11,12
12,9
24,25
2,2
14,14
8,8
10,10
6,6
7,6
6,8
4,4
10,9
9,9
16,17
15,14
25,25
2,2
27,28
6,6
13,12
19,21
19,24
69,69
21,21
7,7
9,9
3,3
4,0
47,47
4,4
6,6
0,4
32,32
73,74
3,3
4,4
4,4
3,3
3,3
3,3
4,4
4,4
4,4
4,4
4,4
1,1
5,5
2,2
2,2
3,3
2,2
4,4
13,13
0,5
6,0
2,2
2,2
2,2
4,4
4,4
10,10
2,2
8,8
3,3
21,22
3,3
7,7
13,13
9,9
6,6
24,25
1,4
2,3
13,15
3,4
7,9
8,9
1,1
1,1
2,2
1,1
18,17
9,11
6,6
10,9
9,9
3,3
4,4
23,25
7,6
12,10
2,2
22,21
3,3
2,2
22,22
3,3
24,24
7,7
13,13
13,15
6,6
4,5
3,3
4,4
7,7
1,1
11,11
3,4
4,4
10,9
9,9
4,5
24,0
8,0
0,29
4,3
7,0
4,5
7,9
4,4
4,3
3,3
4,4
6,5
9,9
0,6
6,0
15,15
14,14
3,3
98,98
6,6
6,6
13,12
1,1
4,4
16,15
5,5
1,1
7,7
18,18
9,9
18,18
5,5
2,2
2,2
2,2
6,6
4,4
3,3
4,4
17,17
18,18
7,7
3,4
18,18
7,7
3,3
2,4
0,3
25,15
0,5
0,4
0,8
0,5
5,5
18,21
0,5
8,4
14,10
5,5
8,6
3,3
5,5
0,2
8,9
45,45
33,31
7,7
30,31
7,8
7,8
4,4
22,22
3,0
5,0
7,0
10,0
5,0
5,0
7,0
7,0
8,0
11,0
11,0
2,0
6,6
4,4
5,5
14,15
16,12
0,10
16,17
5,4
2,2
6,6
0,11
6,7
34,34
3,3
5,5
7,7
6,6
4,4
4,4
5,5
5,5
7,7
6,6
5,5
2,2
6,6
17,17
6,6
10,10
15,15
12,12
13,13
9,9
39,39
18,18
33,33
17,18
32,33
26,28
21,21
20,20
6,6
10,10
5,5
21,21
4,4
4,4
5,5
5,5
13,13
6,6
11,11
18,18
31,32
2,2
2,2
1,1
5,5
1,1
7,7
4,4
0,0
3,3
5,5
4,4
1,1
1,1
2,2
44,44
19,20
4,4
2,2
2,2
2,2
0,0
7,7
3,3
8,8
5,5
4,4
2,2
2,2
5,5
10,10
5,5
4,4
4,4
4,4
8,8
6,6
5,5
10,10
15,15
4,4
3,3
22,23
10,10
6,6
40,40
2,2
6,6
32,33
13,13
4,4
12,12
7,7
3,0
20,20
10,10
10,10
9,9
10,10
13,13
16,16
7,7
28,28
28,28
34,40
4,4
9,10
13,14
10,11
15,16
11,12
14,15
19,20
5,6
0,0
2,2
2,0
0,2
25,29
1,1
2,2
9,9
0,6
0,5
0,4
36,36
2,2
0,1
10,10
9,9
15,15
10,11
10,10
6,6
13,13
6,6
6,6
2,2
11,11
0,16
30,25
1,0
5,0
3,4
12,14
0,5
7,5
8,8
68,68
11,11
19,19
42,44
15,15
3,3
8,8
0,3
7,0
0,3
3,3
3,0
21,20
3,3
8,7
23,22
47,45
10,10
8,8
10,8
18,17
21,20
8,8
8,7
1,1
9,9
30,32
29,37
2,0
3,6
33,34
24,33
6,6
0,16
0,11
14,0
2,0
1,0
11,0
2,0
13,0
2,2
0,2
18,18
2,2
3,0
12,11
30,29
5,5
15,15
10,10
54,54
3,3
34,34
14,15
11,12
13,13
6,6
8,8
20,20
14,13
6,6
10,11
7,7
27,26
6,7
7,0
21,21
21,21
11,0
2,0
2,0
16,0
2,0
5,6
3,4
8,8
26,0
5,0
6,7
42,43
17,17
18,17
55,62
0,4
64,64
11,11
9,9
25,26
34,44
0,0
39,47
0,4
0,1
27,21
39,57
0,7
8,9
10,10
12,12
21,21
66,66
11,11
19,19
16,28
0,2
31,31
11,11
0,3
0,12
10,5
18,20
3,3
5,5
3,3
27,24
2,0
29,29
9,8
28,28
5,5
4,4
18,20
9,9
27,17
18,16
16,16
4,5
25,28
29,31
37,41
5,5
23,23
6,5
6,6
25,25
9,9
8,8
6,6
4,4
4,4
36,36
14,14
12,12
13,13
13,13
13,13
14,14
7,7
3,3
3,3
27,27
20,21
33,33
3,3
16,16
6,6
6,6
6,6
6,6
6,6
6,6
20,20
18,20
15,15
0,14
8,9
0,9
18,19
14,14
2,5
4,5
7,9
5,6
10,14
0,6
0,5
0,6
5,5
12,14
26,26
13,13
4,4
11,11
7,7
18,18
8,8
3,3
5,5
5,5
4,4
3,4
27,25
4,4
7,8
35,36
0,2
13,13
11,11
8,8
18,17
48,48
18,18
10,10
7,7
1,1
2,2
5,6
10,8
7,4
10,10
15,16
12,11
13,13
52,51
2,3
8,9
65,65
7,7
7,7
7,7
9,9
7,7
6,6
7,7
8,9
4,3
0,6
6,0
69,69
21,21
63,63
3,3
8,7
7,7
21,21
6,6
6,6
29,27
14,13
27,26
1,1
5,5
20,20
10,9
8,7
49,49
3,3
4,4
3,3
4,4
4,4
3,3
2,2
5,5
13,13
12,12
7,7
7,6
14,14
16,17
13,9
3,2
11,10
23,22
39,39
8,8
2,2
0,0
2,2
4,4
0,2
21,21
96,92
10,9
7,6
8,7
8,7
15,15
10,9
19,19
25,24
3,4
3,4
15,16
20,20
15,15
6,6
12,14
2,2
2,2
6,6
10,11
7,7
5,5
30,28
9,11
17,17
6,4
11,11
0,3
0,2
14,15
0,9
0,1
3,2
59,59
17,17
49,49
1,0
0,1
58,64
3,3
8,8
7,7
18,24
8,11
7,9
24,29
9,10
5,5
27,31
4,4
10,12
15,16
1,1
1,1
6,6
24,26
21,23
3,3
3,3
21,23
40,40
9,9
3,3
0,0
7,9
10,12
