Before,After
55,57
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
56,51
68,68
80,80
73,72
22,25
31,
75,58
72,62
,73
0,0
,80
0,
,0
,31
72,79
0,0
0,0
33,75
,0
71,73
20,20
0,0
73,73
0,0
0,0
0,0
0,0
0,0
63,59
0,0
71,71
0,0
0,0
37,37
12,12
91,91
0,0
0,0
0,0
0,0
0,0
0,0
91,91
35,35
0,0
56,56
25,25
0,0
83,83
0,
0,0
,0
0,0
56,56
0,0
0,0
92,91
50,66
0,0
0,0
0,50
0,0
0,0
0,0
69,69
0,0
33,60
33,
0,0
57,59
90,90
50,50
0,0
,0
,0
0,0
0,0
0,75
40,46
14,21
0,0
0,0
,0
0,0
0,0
14,14
0,0
68,68
30,28
0,0
41,47
0,0
77,77
0,0
35,35
0,0
50,40
0,0
0,0
0,0
80,80
0,0
60,61
,0
70,73
0,0
0,0
66,73
12,50
0,0
0,0
0,0
0,0
0,0
0,80
66,66
0,0
0,0
0,0
0,0
0,
,0
0,0
56,56
0,0
,0
0,0
0,0
0,0
,0
,0
0,0
,0
0,
0,0
0,0
0,
0,0
76,
,76
0,
0,0
83,83
0,0
0,0
0,0
0,0
71,71
0,0
82,82
0,0
0,50
0,0
,53
33,33
53,
33,33
90,90
0,0
0,0
0,0
2,2
92,92
,0
84,84
0,0
91,91
50,50
85,85
0,0
0,
0,0
76,76
0,
85,68
0,
14,17
,50
100,0
57,61
0,0
0,0
0,0
0,0
0,0
50,66
72,76
0,0
82,85
33,33
0,0
,33
53,53
0,0
0,0
33,33
56,56
43,40
,33
,0
75,72
0,0
0,37
43,50
37,50
87,87
0,0
72,72
0,0
57,71
0,0
0,0
66,66
0,0
50,0
0,0
71,75
66,0
0,0
0,0
57,61
33,0
30,30
0,0
71,71
44,44
0,0
56,56
25,25
0,0
9,
86,86
0,0
0,0
,9
16,37
80,81
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
60,60
0,0
0,0
0,0
33,33
,0
0,
0,0
0,0
0,0
0,0
0,0
82,82
0,0
0,0
0,0
50,55
0,0
16,16
30,30
0,0
0,0
50,50
53,37
0,0
0,0
63,58
0,0
57,57
0,0
0,0
0,0
0,0
54,54
0,0
0,0
50,50
25,25
25,25
25,25
0,0
85,85
0,0
0,50
42,42
0,0
50,50
42,42
