Before,After
362,362
3,3
3,3
3,3
3,3
3,3
3,3
3,3
3,3
3,3
3,3
3,3
3,3
3,3
3,3
74,78
221,236
51,51
236,255
43,48
126,
243,196
50,125
,51
66,4
,25
18,
,2
,126
500,515
43,48
17,17
40,61
,24
272,321
119,98
31,10
150,154
4,4
4,4
4,4
4,4
12,12
80,77
4,4
107,107
4,4
4,4
17,17
35,35
171,164
18,18
5,5
32,32
4,4
7,7
90,96
267,267
494,494
52,52
29,29
15,15
6,6
177,177
29,
9,9
,29
290,290
40,40
16,16
26,26
241,251
23,27
101,102
6,4
45,62
21,20
43,42
4,2
127,132
6,6
101,82
68,
13,12
66,67
148,158
76,69
51,45
,12
,12
30,30
39,40
38,45
43,51
50,54
52,52
64,63
,14
28,62
34,68
44,44
71,71
71,71
38,53
125,152
200,192
4,4
197,197
44,44
194,200
61,56
24,22
214,223
18,16
127,127
27,27
32,25
62,100
,21
94,95
19,20
36,37
51,52
36,37
14,15
31,32
58,59
111,111
45,45
30,31
57,57
45,46
30,30
7,7
130,132
120,
,122
15,17
89,89
260,260
,21
14,7
16,7
29,31
,8
,5
19,16
,2
5,
12,13
62,62
4,
12,12
126,
,126
5,
12,12
261,261
8,8
6,6
132,169
288,289
158,158
225,226
166,166
13,13
164,165
4,4
,96
16,16
96,
23,23
145,148
30,30
56,56
18,14
125,128
270,273
,16
152,152
18,18
471,471
38,38
181,181
81,81
16,
94,83
80,78
14,
201,77
8,
131,145
,13
396,392
68,100
90,105
69,84
96,96
31,31
146,144
98,106
143,161
8,8
202,212
14,14
31,9
,10
22,22
52,49
50,53
87,84
30,30
71,54
,32
,14
28,35
17,13
70,29
57,46
49,26
183,183
18,18
142,144
55,55
81,79
17,17
21,21
28,30
4,4
41,40
68,68
120,123
116,113
82,82
18,18
87,86
18,17
55,55
46,42
68,70
528,528
52,52
29,29
15,15
6,6
29,
266,266
4,4
13,13
,29
195,198
562,568
0,0
3,3
3,3
0,0
0,0
0,0
3,3
3,3
3,3
3,3
3,3
11,11
10,10
5,5
16,16
5,5
14,14
9,9
37,37
,9
15,
3,3
2,2
2,2
4,4
6,6
31,31
11,14
44,42
25,25
86,100
5,5
47,47
79,79
51,63
42,42
93,99
23,19
15,17
26,26
64,64
22,22
96,97
4,4
4,4
10,10
4,4
100,100
40,40
129,155
33,59
25,25
20,20
20,20
101,101
121,121
49,49
25,29
43,45
23,26
29,29
45,45
26,26
86,87
30,30
99,102
226,223
24,23
20,24
14,14
17,17
48,51
11,14
32,31
24,34
37,37
61,61
23,23
53,56
107,
15,
,115
10,8
17,
23,26
53,57
4,4
4,4
4,4
4,4
8,8
60,63
,19
29,
225,225
166,166
13,13
804,806
29,29
11,11
100,100
8,8
10,10
25,27
56,56
8,8
13,13
79,79
52,52
39,39
5,5
4,4
4,4
4,4
8,8
9,9
4,4
9,9
40,40
72,60
37,46
27,27
133,133
28,36
10,10
11,14
,7
65,48
,9
,8
,12
,9
30,30
119,112
,21
28,10
96,39
16,13
13,12
29,28
45,38
,10
42,30
675,680
275,265
142,156
424,430
79,83
286,290
140,147
169,169
46,
37,
101,
79,
53,
185,
99,
50,
359,
371,
132,
159,
104,107
20,20
14,14
93,100
168,159
,79
235,243
44,44
12,12
18,18
,371
110,89
358,358
7,7
12,12
14,14
9,9
7,7
22,22
10,10
7,7
15,15
12,12
7,7
6,6
16,16
37,37
