Before,After
362.0,362.0
3.0,3.0
3.0,3.0
3.0,3.0
3.0,3.0
3.0,3.0
3.0,3.0
3.0,3.0
3.0,3.0
3.0,3.0
3.0,3.0
3.0,3.0
3.0,3.0
3.0,3.0
3.0,3.0
74.0,78.0
221.0,236.0
51.0,51.0
236.0,255.0
43.0,48.0
243.0,196.0
50.0,125.0
66.0,4.0
500.0,515.0
43.0,48.0
17.0,17.0
40.0,61.0
272.0,321.0
119.0,98.0
31.0,10.0
150.0,154.0
4.0,4.0
4.0,4.0
4.0,4.0
4.0,4.0
12.0,12.0
80.0,77.0
4.0,4.0
107.0,107.0
4.0,4.0
4.0,4.0
17.0,17.0
35.0,35.0
171.0,164.0
18.0,18.0
5.0,5.0
32.0,32.0
4.0,4.0
7.0,7.0
90.0,96.0
267.0,267.0
494.0,494.0
52.0,52.0
29.0,29.0
15.0,15.0
6.0,6.0
177.0,177.0
9.0,9.0
290.0,290.0
40.0,40.0
16.0,16.0
26.0,26.0
241.0,251.0
23.0,27.0
101.0,102.0
6.0,4.0
45.0,62.0
21.0,20.0
43.0,42.0
4.0,2.0
127.0,132.0
6.0,6.0
101.0,82.0
13.0,12.0
66.0,67.0
148.0,158.0
76.0,69.0
51.0,45.0
30.0,30.0
39.0,40.0
38.0,45.0
43.0,51.0
50.0,54.0
52.0,52.0
64.0,63.0
28.0,62.0
34.0,68.0
44.0,44.0
71.0,71.0
71.0,71.0
38.0,53.0
125.0,152.0
200.0,192.0
4.0,4.0
197.0,197.0
44.0,44.0
194.0,200.0
61.0,56.0
24.0,22.0
214.0,223.0
18.0,16.0
127.0,127.0
27.0,27.0
32.0,25.0
62.0,100.0
94.0,95.0
19.0,20.0
36.0,37.0
51.0,52.0
36.0,37.0
14.0,15.0
31.0,32.0
58.0,59.0
111.0,111.0
45.0,45.0
30.0,31.0
57.0,57.0
45.0,46.0
30.0,30.0
7.0,7.0
130.0,132.0
15.0,17.0
89.0,89.0
260.0,260.0
14.0,7.0
16.0,7.0
29.0,31.0
19.0,16.0
12.0,13.0
62.0,62.0
12.0,12.0
12.0,12.0
261.0,261.0
8.0,8.0
6.0,6.0
132.0,169.0
288.0,289.0
158.0,158.0
225.0,226.0
166.0,166.0
13.0,13.0
164.0,165.0
4.0,4.0
16.0,16.0
23.0,23.0
145.0,148.0
30.0,30.0
56.0,56.0
18.0,14.0
125.0,128.0
270.0,273.0
152.0,152.0
18.0,18.0
471.0,471.0
38.0,38.0
181.0,181.0
81.0,81.0
94.0,83.0
80.0,78.0
201.0,77.0
131.0,145.0
396.0,392.0
68.0,100.0
90.0,105.0
69.0,84.0
96.0,96.0
31.0,31.0
146.0,144.0
98.0,106.0
143.0,161.0
8.0,8.0
202.0,212.0
14.0,14.0
31.0,9.0
22.0,22.0
52.0,49.0
50.0,53.0
87.0,84.0
30.0,30.0
71.0,54.0
28.0,35.0
17.0,13.0
70.0,29.0
57.0,46.0
49.0,26.0
183.0,183.0
18.0,18.0
142.0,144.0
55.0,55.0
81.0,79.0
17.0,17.0
21.0,21.0
28.0,30.0
4.0,4.0
41.0,40.0
68.0,68.0
