Before,After
34,34
12,12
12,12
12,12
12,12
12,12
12,12
12,12
12,12
12,12
12,12
12,12
12,12
12,12
12,12
22,23
35,36
23,23
33,35
15,15
28,
32,28
22,28
,18
13,13
,18
13,
,12
,28
41,46
14,14
13,13
15,21
,17
38,41
24,24
17,14
25,25
21,21
21,21
13,13
13,13
13,13
22,21
13,13
20,20
13,13
13,13
16,16
16,16
20,20
13,13
13,13
13,13
13,13
13,13
15,16
39,39
26,26
28,28
89,89
14,14
13,13
42,42
17,
14,14
,17
21,21
20,20
14,14
16,16
53,55
14,15
20,20
21,21
24,26
22,22
22,22
21,20
24,25
13,13
15,17
15,
13,13
19,20
49,50
53,54
18,15
,13
,13
15,15
15,15
16,16
17,17
26,26
17,17
16,16
,47
15,15
16,17
19,19
23,23
24,24
17,19
24,26
30,30
13,13
21,21
15,15
26,26
16,15
18,17
26,27
13,13
24,24
17,17
15,14
19,21
,15
20,20
13,13
13,13
25,25
41,41
13,13
13,13
13,13
18,18
18,18
17,17
84,84
18,18
14,14
13,13
14,14
35,
,35
15,14
20,20
98,98
,14
14,15
14,15
15,15
,12
,13
17,16
,12
31,
15,15
34,34
31,
15,15
30,
,30
31,
15,15
30,30
14,14
13,13
51,51
35,36
20,20
690,690
708,708
15,15
725,14
23,23
,702
15,15
702,
15,15
48,49
50,51
53,54
13,13
53,54
70,71
,15
25,25
17,17
46,46
36,36
32,32
18,18
15,
22,21
28,28
14,
38,29
13,
46,47
,138
136,136
143,147
150,155
141,144
147,151
15,15
24,26
16,18
23,25
13,13
34,39
15,15
14,14
,15
17,17
14,14
14,15
26,28
89,89
18,17
,15
,14
20,21
13,13
15,16
20,19
84,82
28,28
17,17
22,22
18,18
19,19
14,14
17,17
18,18
20,21
16,16
18,18
19,20
21,21
19,19
17,17
28,28
15,15
22,22
15,14
19,19
35,35
37,37
89,89
14,14
13,13
14,
41,41
13,13
17,17
,14
15,16
34,36
13,13
15,15
15,15
13,13
13,13
13,13
15,15
15,15
15,15
15,15
15,15
744,744
13,13
13,13
17,17
13,13
13,13
13,13
15,15
,13
14,
13,13
13,13
13,13
21,21
13,13
26,26
15,16
17,17
14,14
21,22
13,13
15,15
22,22
16,17
17,17
24,24
17,16
14,14
15,15
24,24
14,14
30,30
13,13
13,13
13,13
13,13
20,20
16,16
17,17
16,18
20,22
20,22
20,22
18,18
35,35
18,18
19,20
26,26
15,15
20,20
26,26
15,15
16,17
89,89
27,28
77,77
18,18
15,15
14,14
14,14
24,24
14,15
14,14
16,17
18,18
17,17
16,16
25,26
31,
15,
,32
13,13
14,
19,20
26,28
13,13
13,13
13,13
13,13
14,14
24,25
,16
18,
690,690
708,708
15,15
39,39
727,727
13,13
25,25
14,14
13,13
13,13
22,22
14,14
13,13
13,13
846,846
13,13
13,13
13,13
13,13
13,13
17,17
33,33
13,13
33,33
15,15
18,18
19,20
17,17
39,39
15,16
15,15
15,16
,14
20,19
,16
,16
,16
,16
18,18
20,20
,13
14,13
21,13
14,13
13,13
19,19
17,16
,14
17,14
44,45
27,27
35,36
43,43
15,16
22,23
19,19
25,25
24,
17,
22,
14,
22,
14,
26,
16,
30,
23,
21,
13,
21,22
16,16
15,15
26,27
19,18
,14
38,39
20,20
14,14
13,13
,23
18,18
13,13
13,13
14,14
13,13
13,13
13,13
16,16
13,13
13,13
13,13
13,13
13,13
13,13
13,13
13,13
13,13
14,14
14,14
18,18
16,16
15,15
30,30
32,32
18,18
50,52
54,56
45,47
14,14
14,14
13,13
17,17
13,13
13,13
13,13
16,16
13,13
13,13
13,13
14,14
22,22
13,13
20,20
13,13
13,13
13,13
13,13
13,13
13,13
13,13
13,13
13,13
13,13
14,14
13,13
13,13
13,13
31,31
19,19
14,14
13,13
13,13
13,13
13,13
13,13
13,13
13,13
13,13
13,13
13,13
13,13
13,13
13,13
13,13
13,13
13,13
13,13
18,18
17,17
16,16
17,17
22,22
13,13
16,16
29,29
15,15
19,19
28,28
13,13
24,24
18,18
27,27
14,14
27,27
24,24
13,
30,30
15,15
19,19
19,19
19,19
13,13
17,17
13,13
59,59
99,99
29,29
13,13
14,14
15,15
14,14
15,15
14,14
15,15
17,17
13,13
,12
19,19
20,
,20
29,30
17,17
16,16
14,15
,17
,22
,17
33,34
13,13
,81
19,20
15,15
81,81
15,15
15,15
14,14
15,15
25,25
21,21
34,34
26,29
,21
27,29
13,
14,
15,15
15,15
,16
34,34
34,34
61,61
88,88
13,13
43,43
16,16
13,13
18,18
,14
13,
,13
13,13
13,
15,15
14,14
13,13
96,96
46,46
87,87
87,87
87,87
52,52
15,15
54,54
13,13
16,17
25,25
26,26
17,17
18,
22,23
25,25
17,17
13,13
,22
,15
15,
17,
17,
18,
16,
20,
13,13
,13
31,31
16,16
13,
29,29
34,34
16,16
22,22
15,15
53,53
13,13
26,26
15,15
34,34
28,28
21,21
14,14
17,17
17,17
13,13
17,15
13,13
31,31
13,13
16,
15,14
15,14
14,
13,
13,
31,
16,
28,25
32,29
29,25
34,
16,
28,25
31,31
15,15
15,16
34,34
,13
49,49
29,29
25,25
15,15
20,20
15,15
22,23
,13
,12
18,18
55,56
,25
13,13
13,13
17,17
21,21
61,62
88,88
13,13
17,18
,13
63,62
67,67
,15
,13
15,14
22,23
13,13
16,16
14,14
23,23
22,
42,42
14,14
16,16
44,44
24,25
22,23
14,14
17,15
31,29
15,15
12,12
15,15
14,14
19,21
15,15
40,40
59,19
13,13
17,17
14,14
14,14
13,13
13,13
13,13
32,32
15,15
14,14
14,14
14,14
14,14
14,14
13,13
13,13
13,13
27,26
25,27
28,28
13,13
37,37
21,21
21,21
21,21
21,21
21,21
21,21
20,20
37,38
28,29
,27
14,14
,15
18,18
16,16
16,19
23,27
27,31
24,28
28,31
,22
,15
,21
20,20
15,15
17,17
17,17
13,13
13,13
15,15
23,23
16,16
13,13
15,15
15,15
15,15
25,25
19,18
14,14
16,16
26,26
,13
16,16
14,14
14,14
29,30
86,86
14,14
89,89
14,14
13,13
13,13
31,34
24,23
39,41
14,14
18,18
33,33
17,17
48,48
13,13
21,21
98,98
49,49
49,49
49,49
49,49
49,49
49,49
49,49
19,19
13,13
,18
18,
25,25
15,15
24,26
14,14
13,13
13,13
26,26
19,19
17,17
37,37
16,16
32,32
12,12
27,27
42,42
34,33
37,36
38,38
15,15
13,13
13,13
13,13
13,13
13,13
13,13
13,13
15,15
17,17
24,24
16,16
27,27
23,23
28,28
25,25
29,29
33,33
39,39
15,15
13,13
12,12
13,13
79,79
,18
40,40
208,208
18,18
16,16
17,17
18,18
17,17
17,17
108,108
27,27
15,15
15,15
23,23
29,29
20,20
15,15
47,47
13,13
13,13
21,21
26,26
17,17
17,17
35,35
26,27
24,24
19,18
13,13
,15
,28
53,52
,108
,16
14,13
29,30
14,14
30,30
2,
,2
24,24
14,14
13,13
13,13
37,37
18,18
26,26
31,31
15,15
15,15
20,20
13,13
36,36
14,14
13,13
13,13
13,13
24,24
29,29
13,13
13,13
33,33
49,49
15,15
13,13
12,12
16,16
17,17
13,13
18,18
13,
14,14
31,31
,18
,14
32,32
12,12
27,27
15,15
24,24
14,14
13,13
13,13
31,32
15,15
15,15
16,16
27,27
13,13
13,13
13,13
13,13
16,16
12,12
12,12
12,12
12,12
16,16
17,17
12,12
12,12
12,12
12,12
12,12
20,20
13,13
28,28
16,16
15,15
