Before,After
34.0,34.0
12.0,12.0
12.0,12.0
12.0,12.0
12.0,12.0
12.0,12.0
12.0,12.0
12.0,12.0
12.0,12.0
12.0,12.0
12.0,12.0
12.0,12.0
12.0,12.0
12.0,12.0
12.0,12.0
22.0,23.0
35.0,36.0
23.0,23.0
33.0,35.0
15.0,15.0
32.0,28.0
22.0,28.0
13.0,13.0
41.0,46.0
14.0,14.0
13.0,13.0
15.0,21.0
38.0,41.0
24.0,24.0
17.0,14.0
25.0,25.0
21.0,21.0
21.0,21.0
13.0,13.0
13.0,13.0
13.0,13.0
22.0,21.0
13.0,13.0
20.0,20.0
13.0,13.0
13.0,13.0
16.0,16.0
16.0,16.0
20.0,20.0
13.0,13.0
13.0,13.0
13.0,13.0
13.0,13.0
13.0,13.0
15.0,16.0
39.0,39.0
26.0,26.0
28.0,28.0
89.0,89.0
14.0,14.0
13.0,13.0
42.0,42.0
14.0,14.0
21.0,21.0
20.0,20.0
14.0,14.0
16.0,16.0
53.0,55.0
14.0,15.0
20.0,20.0
21.0,21.0
24.0,26.0
22.0,22.0
22.0,22.0
21.0,20.0
24.0,25.0
13.0,13.0
15.0,17.0
13.0,13.0
19.0,20.0
49.0,50.0
53.0,54.0
18.0,15.0
15.0,15.0
15.0,15.0
16.0,16.0
17.0,17.0
26.0,26.0
17.0,17.0
16.0,16.0
15.0,15.0
16.0,17.0
19.0,19.0
23.0,23.0
24.0,24.0
17.0,19.0
24.0,26.0
30.0,30.0
13.0,13.0
21.0,21.0
15.0,15.0
26.0,26.0
16.0,15.0
18.0,17.0
26.0,27.0
13.0,13.0
24.0,24.0
17.0,17.0
15.0,14.0
19.0,21.0
20.0,20.0
13.0,13.0
13.0,13.0
25.0,25.0
41.0,41.0
13.0,13.0
13.0,13.0
13.0,13.0
18.0,18.0
18.0,18.0
17.0,17.0
84.0,84.0
18.0,18.0
14.0,14.0
13.0,13.0
14.0,14.0
15.0,14.0
20.0,20.0
98.0,98.0
14.0,15.0
14.0,15.0
15.0,15.0
17.0,16.0
15.0,15.0
34.0,34.0
15.0,15.0
15.0,15.0
30.0,30.0
14.0,14.0
13.0,13.0
51.0,51.0
35.0,36.0
20.0,20.0
15.0,15.0
23.0,23.0
15.0,15.0
15.0,15.0
48.0,49.0
50.0,51.0
53.0,54.0
13.0,13.0
53.0,54.0
70.0,71.0
25.0,25.0
17.0,17.0
46.0,46.0
36.0,36.0
32.0,32.0
18.0,18.0
22.0,21.0
28.0,28.0
38.0,29.0
46.0,47.0
136.0,136.0
143.0,147.0
150.0,155.0
141.0,144.0
147.0,151.0
15.0,15.0
24.0,26.0
16.0,18.0
23.0,25.0
13.0,13.0
34.0,39.0
15.0,15.0
14.0,14.0
17.0,17.0
14.0,14.0
14.0,15.0
26.0,28.0
89.0,89.0
18.0,17.0
20.0,21.0
13.0,13.0
15.0,16.0
20.0,19.0
84.0,82.0
28.0,28.0
17.0,17.0
22.0,22.0
18.0,18.0
19.0,19.0
14.0,14.0
17.0,17.0
18.0,18.0
20.0,21.0
16.0,16.0
18.0,18.0
19.0,20.0
21.0,21.0
19.0,19.0
17.0,17.0
28.0,28.0
15.0,15.0
22.0,22.0
15.0,14.0
19.0,19.0
35.0,35.0
37.0,37.0
89.0,89.0
14.0,14.0
13.0,13.0
41.0,41.0
13.0,13.0
17.0,17.0
15.0,16.0
34.0,36.0
13.0,13.0
15.0,15.0
15.0,15.0
13.0,13.0
13.0,13.0
13.0,13.0
15.0,15.0
15.0,15.0
15.0,15.0
15.0,15.0
15.0,15.0
13.0,13.0
13.0,13.0
17.0,17.0
13.0,13.0
13.0,13.0
13.0,13.0
15.0,15.0
13.0,13.0
13.0,13.0
13.0,13.0
21.0,21.0
13.0,13.0
26.0,26.0
15.0,16.0
17.0,17.0
14.0,14.0
21.0,22.0
13.0,13.0
15.0,15.0
22.0,22.0
16.0,17.0
17.0,17.0
24.0,24.0
17.0,16.0
14.0,14.0
15.0,15.0
24.0,24.0
14.0,14.0
30.0,30.0
13.0,13.0
13.0,13.0
13.0,13.0
13.0,13.0
20.0,20.0
16.0,16.0
17.0,17.0
16.0,18.0
20.0,22.0
20.0,22.0
20.0,22.0
18.0,18.0
35.0,35.0
18.0,18.0
19.0,20.0
26.0,26.0
15.0,15.0
20.0,20.0
26.0,26.0
15.0,15.0
16.0,17.0
89.0,89.0
27.0,28.0
77.0,77.0
18.0,18.0
15.0,15.0
14.0,14.0
14.0,14.0
24.0,24.0
14.0,15.0
14.0,14.0
16.0,17.0
18.0,18.0
17.0,17.0
16.0,16.0
25.0,26.0
13.0,13.0
19.0,20.0
26.0,28.0
13.0,13.0
13.0,13.0
13.0,13.0
13.0,13.0
14.0,14.0
24.0,25.0
15.0,15.0
39.0,39.0
13.0,13.0
25.0,25.0
14.0,14.0
13.0,13.0
13.0,13.0
22.0,22.0
14.0,14.0
13.0,13.0
13.0,13.0
13.0,13.0
13.0,13.0
13.0,13.0
13.0,13.0
13.0,13.0
17.0,17.0
33.0,33.0
13.0,13.0
33.0,33.0
15.0,15.0
18.0,18.0
19.0,20.0
17.0,17.0
39.0,39.0
15.0,16.0
15.0,15.0
15.0,16.0
20.0,19.0
18.0,18.0
20.0,20.0
14.0,13.0
21.0,13.0
14.0,13.0
13.0,13.0
19.0,19.0
17.0,16.0
17.0,14.0
44.0,45.0
27.0,27.0
35.0,36.0
43.0,43.0
15.0,16.0
22.0,23.0
19.0,19.0
25.0,25.0
21.0,22.0
16.0,16.0
15.0,15.0
26.0,27.0
19.0,18.0
38.0,39.0
20.0,20.0
14.0,14.0
13.0,13.0
18.0,18.0
13.0,13.0
13.0,13.0
14.0,14.0
13.0,13.0
13.0,13.0
13.0,13.0
16.0,16.0
13.0,13.0
13.0,13.0
13.0,13.0
13.0,13.0
13.0,13.0
13.0,13.0
13.0,13.0
13.0,13.0
13.0,13.0
14.0,14.0
14.0,14.0
18.0,18.0
16.0,16.0
15.0,15.0
30.0,30.0
32.0,32.0
18.0,18.0
50.0,52.0
54.0,56.0
45.0,47.0
14.0,14.0
14.0,14.0
13.0,13.0
17.0,17.0
13.0,13.0
13.0,13.0
13.0,13.0
16.0,16.0
13.0,13.0
13.0,13.0
13.0,13.0
14.0,14.0
22.0,22.0
13.0,13.0
20.0,20.0
13.0,13.0
13.0,13.0
13.0,13.0
13.0,13.0
13.0,13.0
13.0,13.0
13.0,13.0
13.0,13.0
13.0,13.0
13.0,13.0
14.0,14.0
13.0,13.0
13.0,13.0
13.0,13.0
31.0,31.0
19.0,19.0
14.0,14.0
13.0,13.0
13.0,13.0
13.0,13.0
13.0,13.0
13.0,13.0
13.0,13.0
13.0,13.0
13.0,13.0
13.0,13.0
13.0,13.0
13.0,13.0
13.0,13.0
13.0,13.0
13.0,13.0
13.0,13.0
13.0,13.0
13.0,13.0
18.0,18.0
17.0,17.0
16.0,16.0
17.0,17.0
22.0,22.0
13.0,13.0
16.0,16.0
29.0,29.0
15.0,15.0
19.0,19.0
28.0,28.0
13.0,13.0
24.0,24.0
18.0,18.0
27.0,27.0
14.0,14.0
27.0,27.0
24.0,24.0
30.0,30.0
15.0,15.0
19.0,19.0
19.0,19.0
19.0,19.0
13.0,13.0
17.0,17.0
13.0,13.0
59.0,59.0
99.0,99.0
29.0,29.0
13.0,13.0
14.0,14.0
15.0,15.0
14.0,14.0
15.0,15.0
14.0,14.0
15.0,15.0
17.0,17.0
13.0,13.0
19.0,19.0
29.0,30.0
17.0,17.0
16.0,16.0
14.0,15.0
33.0,34.0
13.0,13.0
19.0,20.0
15.0,15.0
81.0,81.0
15.0,15.0
15.0,15.0
14.0,14.0
15.0,15.0
25.0,25.0
21.0,21.0
34.0,34.0
26.0,29.0
27.0,29.0
15.0,15.0
15.0,15.0
34.0,34.0
34.0,34.0
61.0,61.0
88.0,88.0
13.0,13.0
43.0,43.0
16.0,16.0
13.0,13.0
18.0,18.0
13.0,13.0
15.0,15.0
14.0,14.0
13.0,13.0
96.0,96.0
46.0,46.0
87.0,87.0
87.0,87.0
87.0,87.0
52.0,52.0
15.0,15.0
54.0,54.0
13.0,13.0
16.0,17.0
25.0,25.0
26.0,26.0
