Before,After
22,22
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
18,19
47,49
12,12
24,26
11,13
35,
50,42
12,28
,7
4,1
,6
3,
,0
,35
98,105
5,6
3,3
6,12
,6
38,44
35,29
13,4
22,22
1,1
1,1
1,1
1,1
1,1
18,17
1,1
15,15
1,1
1,1
4,4
7,7
18,17
4,4
1,1
7,7
1,1
2,2
27,29
61,61
70,70
7,7
6,6
2,2
1,1
52,52
9,
2,2
,9
43,43
11,11
4,4
4,4
68,70
3,4
29,29
1,1
12,17
2,2
2,2
1,0
33,35
1,1
5,14
12,
2,2
15,16
42,45
20,18
6,2
,3
,1
3,2
9,9
7,7
11,11
18,18
9,9
10,10
,4
7,12
7,10
9,9
14,14
19,19
10,15
16,19
22,23
1,1
42,42
6,6
53,55
8,7
7,6
16,18
1,1
13,13
5,5
7,5
10,21
,6
22,22
3,3
7,7
15,15
10,10
2,2
5,5
6,6
8,8
6,6
5,5
13,13
8,8
4,4
1,1
2,2
24,
,25
3,3
20,20
86,86
,3
3,1
2,1
9,10
,0
,1
5,4
,0
1,
3,3
19,19
1,
3,3
33,
,33
1,
3,3
45,45
2,2
1,1
42,42
82,83
16,16
7,7
34,34
3,3
4,4
1,1
,18
3,3
18,
5,5
41,42
8,8
17,17
5,3
41,42
79,80
,3
13,13
6,6
49,49
9,9
22,22
6,6
3,
15,14
24,23
3,
45,22
2,
42,45
,2
129,129
14,22
24,28
16,20
29,29
7,7
30,30
21,23
22,26
1,1
37,46
3,3
7,2
,3
5,5
9,9
9,10
8,8
6,6
14,11
,6
,2
8,10
4,3
10,8
16,13
13,6
16,16
6,6
26,26
6,6
10,10
5,5
5,5
6,6
1,1
5,5
6,6
22,23
20,19
7,7
6,6
18,18
5,5
13,13
8,7
16,16
81,81
7,7
6,6
2,2
1,1
6,
60,60
1,1
6,6
,6
72,73
49,53
1,1
3,3
3,3
1,1
1,1
1,1
3,3
3,3
3,3
3,3
3,3
2,2
2,2
1,1
5,5
1,1
1,1
1,1
8,8
,1
3,
1,1
1,1
1,1
1,1
1,1
20,20
3,4
7,7
5,5
16,17
1,1
12,12
22,22
6,8
6,6
18,21
5,4
2,2
3,3
19,19
2,2
20,20
1,1
1,1
3,3
1,1
19,19
4,4
9,8
6,14
5,5
4,4
4,4
13,13
38,38
14,14
7,8
16,16
3,3
8,8
16,16
3,3
9,10
6,6
27,28
58,57
7,7
6,7
4,4
5,5
15,16
2,3
7,7
4,5
6,6
11,11
4,4
13,14
22,
3,
,23
1,1
2,
7,8
7,8
1,1
1,1
1,1
1,1
2,2
18,19
,4
6,
7,7
34,34
3,3
55,55
4,4
3,3
32,32
2,2
3,3
4,5
15,15
2,2
2,2
17,17
13,13
4,4
1,1
1,1
1,1
1,1
2,2
3,3
1,1
3,3
9,9
19,15
10,12
5,5
28,28
3,4
3,3
3,4
,1
15,12
,2
,2
,2
,2
9,9
30,29
,4
5,1
10,2
4,3
3,3
8,8
11,9
,3
7,3
81,82
39,37
42,47
107,108
19,20
91,92
7,7
34,34
12,
8,
26,
3,
12,
13,
34,
6,
115,
11,
53,
78,
23,24
5,5
3,3
24,25
9,8
,3
45,46
8,8
4,4
3,3
,11
15,12
2,2
1,1
2,2
2,2
1,1
2,2
4,4
2,2
1,1
2,2
2,2
1,1
1,1
3,3
8,8
2,2
6,6
7,7
8,8
4,4
3,3
22,22
32,32
30,30
83,85
94,96
54,81
2,2
2,2
1,1
9,9
1,1
1,1
2,2
4,4
2,2
1,1
1,1
2,2
17,17
9,9
8,8
0,0
0,0
0,0
1,1
1,1
0,0
0,0
0,0
0,0
0,0
1,1
0,0
0,0
1,1
24,24
7,7
2,2
2,2
0,0
0,0
0,0
0,0
0,0
0,0
0,0
7,7
1,1
1,1
2,2
1,1
1,1
1,1
1,1
1,1
6,6
5,5
4,4
5,5
10,10
2,2
4,4
38,39
7,7
8,8
48,47
1,1
10,10
33,33
16,16
2,2
15,15
12,12
1,
42,42
3,3
7,7
7,7
7,7
1,1
13,13
4,4
98,104
102,102
37,40
1,1
2,2
3,3
2,2
3,3
2,2
3,3
6,6
1,1
,0
9,9
21,
,21
39,36
5,5
4,4
4,5
,6
,10
,5
44,46
1,1
,0
39,39
5,5
0,0
4,4
3,3
2,2
3,3
4,4
4,4
5,5
52,55
,12
56,56
4,
11,
3,3
14,16
,10
31,24
22,22
106,107
7,7
15,15
67,73
11,11
1,1
8,8
,2
4,
,1
1,1
1,
6,6
3,3
2,2
118,118
83,83
5,5
4,4
4,4
64,64
6,6
8,8
2,2
4,5
14,14
29,27
24,12
