Before,After
55.0,57.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
56.0,51.0
68.0,68.0
80.0,80.0
73.0,72.0
22.0,25.0
31.0,0.0
75.0,58.0
72.0,62.0
0.0,73.0
0.0,0.0
0.0,80.0
0.0,0.0
0.0,0.0
0.0,31.0
72.0,79.0
0.0,0.0
0.0,0.0
33.0,75.0
0.0,0.0
71.0,73.0
20.0,20.0
0.0,0.0
73.0,73.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
63.0,59.0
0.0,0.0
71.0,71.0
0.0,0.0
0.0,0.0
37.0,37.0
12.0,12.0
91.0,91.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
91.0,91.0
35.0,35.0
0.0,0.0
56.0,56.0
25.0,25.0
0.0,0.0
83.0,83.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
56.0,56.0
0.0,0.0
0.0,0.0
92.0,91.0
50.0,66.0
0.0,0.0
0.0,0.0
0.0,50.0
0.0,0.0
0.0,0.0
0.0,0.0
69.0,69.0
0.0,0.0
33.0,60.0
33.0,0.0
0.0,0.0
57.0,59.0
90.0,90.0
50.0,50.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,75.0
40.0,46.0
14.0,21.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
14.0,14.0
0.0,0.0
68.0,68.0
30.0,28.0
0.0,0.0
41.0,47.0
0.0,0.0
77.0,77.0
0.0,0.0
35.0,35.0
0.0,0.0
50.0,40.0
0.0,0.0
0.0,0.0
0.0,0.0
80.0,80.0
0.0,0.0
60.0,61.0
0.0,0.0
70.0,73.0
0.0,0.0
0.0,0.0
66.0,73.0
12.0,50.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,80.0
66.0,66.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
56.0,56.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
76.0,0.0
0.0,76.0
0.0,0.0
0.0,0.0
83.0,83.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
71.0,71.0
0.0,0.0
82.0,82.0
0.0,0.0
0.0,50.0
0.0,0.0
0.0,53.0
33.0,33.0
53.0,0.0
33.0,33.0
90.0,90.0
0.0,0.0
0.0,0.0
0.0,0.0
2.0,2.0
92.0,92.0
0.0,0.0
84.0,84.0
0.0,0.0
91.0,91.0
50.0,50.0
85.0,85.0
0.0,0.0
0.0,0.0
0.0,0.0
76.0,76.0
0.0,0.0
85.0,68.0
0.0,0.0
14.0,17.0
0.0,50.0
100.0,0.0
57.0,61.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
50.0,66.0
72.0,76.0
0.0,0.0
82.0,85.0
33.0,33.0
0.0,0.0
0.0,33.0
53.0,53.0
0.0,0.0
0.0,0.0
33.0,33.0
56.0,56.0
43.0,40.0
0.0,33.0
0.0,0.0
75.0,72.0
0.0,0.0
0.0,37.0
43.0,50.0
37.0,50.0
87.0,87.0
0.0,0.0
72.0,72.0
0.0,0.0
57.0,71.0
0.0,0.0
0.0,0.0
66.0,66.0
0.0,0.0
50.0,0.0
0.0,0.0
71.0,75.0
66.0,0.0
0.0,0.0
0.0,0.0
57.0,61.0
33.0,0.0
30.0,30.0
0.0,0.0
71.0,71.0
44.0,44.0
0.0,0.0
56.0,56.0
25.0,25.0
0.0,0.0
9.0,0.0
86.0,86.0
0.0,0.0
0.0,0.0
0.0,9.0
16.0,37.0
80.0,81.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
60.0,60.0
0.0,0.0
0.0,0.0
0.0,0.0
33.0,33.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
82.0,82.0
0.0,0.0
0.0,0.0
0.0,0.0
50.0,55.0
0.0,0.0
16.0,16.0
30.0,30.0
0.0,0.0
0.0,0.0
50.0,50.0
53.0,37.0
0.0,0.0
0.0,0.0
63.0,58.0
0.0,0.0
57.0,57.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
54.0,54.0
0.0,0.0
0.0,0.0
50.0,50.0
25.0,25.0
25.0,25.0
25.0,25.0
0.0,0.0
85.0,85.0
0.0,0.0
0.0,50.0
42.0,42.0
0.0,0.0
50.0,50.0
42.0,42.0
0.0,0.0
43.0,50.0
56.0,56.0
39.0,43.0
92.0,92.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
50.0,45.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
60.0,60.0
50.0,50.0
79.0,81.0
0.0,0.0
0.0,0.0
0.0,5.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,25.0
50.0,0.0
0.0,0.0
82.0,82.0
0.0,0.0
82.0,82.0
0.0,0.0
0.0,0.0
53.0,53.0
0.0,0.0
0.0,0.0
0.0,0.0
55.0,55.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
66.0,66.0
35.0,45.0
19.0,19.0
0.0,0.0
0.0,0.0
33.0,33.0
0.0,0.0
0.0,0.0
44.0,35.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
50.0,50.0
41.0,43.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
95.0,95.0
73.0,73.0
55.0,54.0
70.0,68.0
50.0,62.0
65.0,68.0
0.0,0.0
78.0,78.0
75.0,0.0
65.0,0.0
50.0,0.0
0.0,0.0
36.0,0.0
0.0,0.0
7.0,0.0
0.0,0.0
55.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
40.0,43.0
0.0,0.0
0.0,0.0
77.0,76.0
0.0,0.0
0.0,0.0
77.0,76.0
40.0,40.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
50.0,50.0
0.0,0.0
0.0,0.0
50.0,50.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
25.0,25.0
50.0,50.0
83.0,83.0
0.0,0.0
0.0,0.0
61.0,61.0
78.0,78.0
0.0,0.0
83.0,84.0
90.0,90.0
92.0,96.0
0.0,0.0
0.0,0.0
0.0,0.0
40.0,40.0
0.0,0.0
0.0,0.0
0.0,0.0
50.0,50.0
0.0,0.0
0.0,0.0
83.0,83.0
0.0,0.0
35.0,35.0
0.0,0.0
12.0,12.0
0.0,0.0
0.0,0.0
0.0,0.0
100.0,100.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
100.0,100.0
0.0,0.0
0.0,0.0
0.0,0.0
42.0,42.0
14.0,14.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
100.0,100.0
100.0,100.0
100.0,100.0
100.0,100.0
91.0,91.0
80.0,80.0
75.0,75.0
85.0,85.0
90.0,90.0
0.0,0.0
50.0,50.0
92.0,92.0
0.0,0.0
57.0,57.0
72.0,72.0
0.0,0.0
50.0,50.0
0.0,0.0
70.0,70.0
0.0,0.0
77.0,77.0
0.0,0.0
0.0,0.0
50.0,50.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
55.0,55.0
0.0,0.0
89.0,91.0
96.0,96.0
68.0,70.0
0.0,0.0
50.0,50.0
66.0,66.0
50.0,50.0
66.0,66.0
50.0,50.0
66.0,66.0
46.0,46.0
0.0,0.0
0.0,0.0
42.0,42.0
0.0,0.0
0.0,0.0
8.0,20.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,40.0
0.0,0.0
0.0,0.0
85.0,86.0
0.0,0.0
0.0,0.0
41.0,48.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
33.0,33.0
75.0,74.0
0.0,61.0
83.0,78.0
0.0,0.0
0.0,0.0
0.0,0.0
66.0,66.0
0.0,0.0
95.0,95.0
0.0,0.0
90.0,90.0
33.0,33.0
0.0,0.0
84.0,84.0
25.0,25.0
0.0,0.0
33.0,33.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
87.0,87.0
83.0,83.0
0.0,0.0
0.0,0.0
0.0,0.0
77.0,77.0
0.0,0.0
0.0,0.0
0.0,0.0
50.0,46.0
78.0,78.0
70.0,70.0
100.0,96.0
41.0,0.0
62.0,63.0
71.0,71.0
0.0,0.0
0.0,0.0
0.0,80.0
0.0,66.0
0.0,0.0
30.0,0.0
30.0,0.0
66.0,0.0
37.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
72.0,72.0
0.0,0.0
0.0,0.0
67.0,67.0
77.0,77.0
58.0,58.0
80.0,80.0
66.0,66.0
83.0,83.0
0.0,0.0
89.0,89.0
5.0,5.0
33.0,33.0
84.0,84.0
0.0,0.0
0.0,0.0
65.0,65.0
86.0,86.0
0.0,0.0
0.0,0.0
0.0,0.0
73.0,75.0
0.0,0.0
25.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
72.0,0.0
0.0,0.0
68.0,72.0
5.0,5.0
67.0,53.0
77.0,0.0
58.0,0.0
70.0,58.0
66.0,66.0
33.0,33.0
16.0,25.0
85.0,85.0
0.0,0.0
77.0,77.0
35.0,35.0
67.0,67.0
13.0,13.0
57.0,56.0
33.0,33.0
80.0,82.0
0.0,0.0
0.0,0.0
61.0,61.0
66.0,64.0
0.0,0.0
0.0,0.0
0.0,0.0
48.0,43.0
72.0,72.0
90.0,90.0
33.0,33.0
0.0,0.0
65.0,66.0
0.0,0.0
80.0,80.0
0.0,0.0
0.0,33.0
0.0,0.0
33.0,0.0
62.0,62.0
0.0,0.0
0.0,0.0
0.0,0.0
61.0,66.0
0.0,0.0
61.0,65.0
0.0,0.0
0.0,0.0
50.0,50.0
50.0,50.0
72.0,70.0
0.0,0.0
70.0,0.0
0.0,0.0
77.0,77.0
0.0,0.0
0.0,0.0
16.0,16.0
9.0,24.0
0.0,0.0
0.0,0.0
22.0,28.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
75.0,80.0
0.0,0.0
61.0,61.0
0.0,0.0
52.0,52.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
73.0,71.0
65.0,66.0
0.0,78.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
50.0,14.0
50.0,68.0
45.0,62.0
56.0,61.0
29.0,66.0
0.0,42.0
0.0,0.0
0.0,0.0
12.0,37.0
0.0,0.0
40.0,40.0
9.0,9.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
37.0,37.0
66.0,60.0
0.0,0.0
0.0,0.0
65.0,65.0
0.0,0.0
64.0,64.0
