Before,After
69,71
,100
,0
,0
33,33
19,19
13,13
0,0
0,0
0,0
0,0
16,16
86,86
0,0
0,0
80,77
44,44
66,66
62,62
18,18
57,57
82,82
88,88
0,0
0,0
8,8
68,68
0,0
0,0
0,0
0,0
0,0
38,38
71,71
42,42
57,57
21,19
57,57
56,52
54,54
0,0
0,0
9,9
73,73
50,50
0,0
22,22
22,22
0,0
80,84
0,0
0,0
0,0
0,0
75,75
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
78,77
78,78
0,0
0,0
0,0
0,0
75,80
0,0
88,87
,66
,0
,0
,0
62,
0,
0,
0,
68,66
85,85
0,0
56,56
16,
0,0
0,0
69,69
0,0
0,0
85,84
0,0
33,0
8,8
0,0
0,0
33,50
84,84
0,0
55,55
0,0
0,0
83,83
39,39
,0
,0
70,75
0,
85,85
50,50
58,54
53,57
41,41
0,0
0,0
65,65
0,0
0,0
66,66
72,70
0,0
61,61
50,50
55,55
62,62
0,0
71,71
48,48
37,37
33,33
0,0
50,50
54,54
0,0
0,0
0,0
0,0
0,0
0,0
0,0
57,57
,0
,0
0,0
48,48
48,48
71,71
100,100
0,0
25,25
61,61
42,42
33,33
37,37
0,0
31,31
0,0
41,41
0,0
0,0
38,38
50,50
0,0
33,33
50,50
42,42
100,100
73,73
0,0
79,80
,0
0,
0,0
,0
0,
0,0
,0
0,
,0
0,
,0
0,
,0
0,
0,0
,0
0,0
0,0
0,
0,0
,0
0,
,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
33,25
45,45
37,37
57,57
0,0
91,91
84,84
,0
,0
30,42
0,0
0,
,0
,0
,33
,33
0,0
88,88
0,0
85,85
50,50
0,0
0,0
0,0
90,90
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
42,46
,0
,0
,0
70,70
0,0
0,0
0,0
0,0
0,0
0,0
0,0
78,78
0,0
0,0
0,0
0,0
88,88
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
66,63
0,0
80,80
56,56
33,33
89,89
0,0
87,87
,66
0,0
47,51
82,83
67,67
0,0
0,0
91,91
71,71
54,50
50,50
0,0
0,0
59,59
77,77
0,0
33,33
46,58
33,33
55,55
0,0
55,64
,66
,0
,79
,0
71,71
78,78
50,54
88,88
0,0
0,0
45,45
25,25
25,25
74,74
80,83
0,0
0,0
82,82
84,84
63,61
56,56
0,0
37,37
47,53
77,77
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
37,
0,
0,
0,
0,0
0,
33,33
33,33
0,0
0,0
0,0
0,0
0,0
60,60
,0
0,
,0
0,0
66,66
0,0
0,0
0,0
0,0
0,0
62,62
0,0
0,0
0,0
0,0
0,0
,0
0,
,0
,0
0,
0,62
,0
,0
50,50
77,77
53,53
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
79,80
0,0
,0
0,
0,0
0,0
0,0
0,0
0,0
89,88
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
84,84
71,71
0,0
38,38
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
33,29
0,0
81,83
0,0
66,62
78,82
33,40
85,87
60,60
0,0
0,0
0,0
0,0
0,0
0,0
53,53
0,0
0,0
0,0
66,66
30,27
84,82
40,50
9,8
36,36
81,79
50,47
0,0
56,56
0,0
72,72
0,0
0,0
0,0
0,0
0,0
0,0
0,0
67,67
0,0
0,0
0,0
0,0
0,0
0,0
0,0
80,78
0,
80,
50,83
,0
,0
79,86
0,0
,58
50,66
72,69
50,50
58,
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
,50
,50
0,0
,0
55,46
0,0
,0
,0
80,83
0,75
0,0
92,92
,0
0,
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
,0
,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
,0
62,62
0,0
0,0
92,92
0,0
0,0
37,38
41,33
79,79
47,59
0,0
56,56
0,0
,72
,0
,41
,0
,66
,0
,0
,0
76,75
50,50
66,58
0,
,0
0,
0,
,0
,0
,0
0,
0,
,0
0,0
0,0
,0
,0
,0
0,
0,
,0
0,0
27,
,19
31,31
60,50
0,0
0,0
83,80
73,74
33,11
0,0
0,0
0,0
0,0
87,87
33,0
33,33
0,0
0,0
0,0
0,0
0,0
0,0
25,25
0,0
0,0
0,0
46,46
71,71
63,63
61,61
0,0
0,0
,66
75,80
0,0
0,0
0,0
33,33
9,9
0,0
0,0
0,0
55,55
46,46
58,63
0,0
61,61
100,100
0,0
61,72
31,31
36,36
43,43
44,40
0,0
56,56
0,0
61,53
0,0
0,0
0,0
0,0
0,0
94,94
84,84
81,77
0,0
0,0
0,0
82,82
76,76
0,0
72,74
,85
21,21
0,0
12,12
75,75
27,50
0,0
57,58
46,46
0,0
73,73
79,74
0,
40,37
,0
33,44
0,0
0,0
64,55
0,
62,62
64,64
0,0
36,40
61,61
79,79
53,53
19,19
69,70
0,0
0,0
0,0
0,0
56,56
81,72
,0
0,
,0
78,75
0,0
0,0
50,50
60,60
0,0
0,0
68,68
0,0
0,0
55,55
33,37
76,76
0,0
0,0
50,50
0,0
0,0
0,0
0,0
77,77
0,0
0,0
0,0
100,100
37,36
0,0
,33
,19
0,0
0,0
100,100
0,0
0,0
0,0
0,0
66,66
0,0
19,19
33,33
19,19
33,33
19,19
66,66
0,0
0,0
0,0
,50
,75
76,76
50,50
0,0
50,
75,
,0
,0
,100
,100
0,0
0,0
0,0
0,0
0,0
0,
0,
83,
75,
16,
0,
16,
86,
84,
90,
83,
0,
78,
75,
36,
60,
91,
0,
0,
0,
0,
0,
78,
0,
33,
50,
78,
0,
61,
50,
0,
33,
0,
0,
0,
0,
0,
51,51
0,0
50,50
60,60
0,0
22,
0,0
50,50
,0
,22
79,79
0,0
0,0
0,0
0,0
0,0
0,0
0,0
40,40
66,66
0,0
0,0
85,85
0,0
85,85
0,0
0,0
50,50
0,0
86,86
0,0
73,73
60,60
0,0
0,0
33,33
0,0
76,76
,0
,0
,0
,0
33,22
0,0
50,50
66,66
0,0
0,0
33,33
0,0
0,0
0,0
75,75
0,0
76,76
46,46
12,12
90,90
0,0
44,44
57,57
67,67
77,77
62,66
86,86
0,0
61,61
25,25
30,30
65,55
0,0
34,37
81,81
50,50
88,88
85,83
44,44
58,58
0,0
57,57
97,97
0,0
50,50
0,0
56,56
0,0
33,33
74,74
0,0
83,85
0,0
25,25
60,60
0,0
0,0
88,88
38,36
0,0
0,0
0,0
0,0
76,76
85,85
50,50
82,80
50,50
0,0
71,71
68,69
0,0
0,0
0,0
70,70
25,25
12,12
33,33
0,0
80,80
0,0
22,40
36,36
98,98
0,0
82,83
25,25
0,0
78,78
47,47
96,96
0,0
0,0
,77
50,50
88,88
78,78
0,0
96,96
0,0
66,66
0,0
56,56
0,0
33,33
74,74
60,60
44,44
0,0
39,39
53,53
0,0
0,0
78,78
0,0
25,25
72,72
0,0
50,50
0,0
25,25
25,25
53,53
0,0
60,60
50,50
0,0
66,
,66
82,82
63,63
0,0
33,33
35,35
90,90
0,0
76,76
84,84
0,0
0,0
27,27
0,0
40,43
0,0
0,0
0,0
86,86
50,50
33,33
37,37
87,87
0,0
0,0
61,42
87,87
14,14
37,37
40,40
30,30
0,0
0,0
0,0
94,94
63,63
0,0
0,0
47,47
0,0
86,86
0,0
0,0
58,58
19,19
0,0
88,88
16,16
0,0
12,12
82,81
47,47
0,0
35,35
,0
0,
56,56
45,45
,0
0,
0,0
0,
50,50
33,33
75,75
89,89
0,0
70,70
50,50
18,18
71,70
27,27
85,77
25,25
72,72
0,0
50,50
0,0
25,25
25,25
53,53
0,0
80,80
87,87
0,0
65,65
0,0
61,60
33,33
33,52
37,38
53,53
100,100
0,0
0,0
0,0
0,0
0,0
87,87
57,57
60,60
41,41
0,0
90,90
33,33
0,0
0,0
0,0
0,0
11,11
0,0
40,40
0,0
0,0
30,30
0,0
83,83
86,86
50,50
83,82
81,81
38,38
44,44
80,79
0,0
25,25
,22
0,0
0,0
82,82
33,33
0,0
56,56
25,16
33,33
77,77
89,89
16,50
55,55
41,41
0,0
90,83
64,64
47,42
40,40
40,40
88,88
41,41
0,0
0,0
0,0
58,58
0,0
0,0
0,0
86,86
0,0
0,0
58,58
19,19
0,0
89,89
16,50
55,55
41,41
0,0
,0
64,65
22,22
0,0
7,7
28,28
16,16
66,66
0,0
0,0
0,0
0,0
66,66
0,0
64,64
0,0
85,85
83,83
0,0
50,50
0,0
50,50
0,0
0,0
0,0
0,0
94,94
76,78
0,0
0,0
33,33
0,0
83,80
42,42
0,0
33,31
0,0
,44
,41
0,0
87,87
85,85
25,25
76,76
19,19
81,81
58,58
55,55
27,27
57,57
97,96
0,0
77,77
0,0
50,50
0,0
86,86
41,41
14,14
22,22
40,40
79,79
0,0
50,50
54,54
72,72
59,56
63,64
0,0
56,58
5,3
98,98
0,0
77,77
25,25
0,0
67,67
50,50
0,0
28,33
50,50
0,0
78,77
25,25
40,40
,0
0,
0,0
67,68
0,0
0,0
0,0
66,66
68,65
0,0
53,55
65,65
98,98
71,76
27,27
85,85
46,46
33,33
0,0
86,86
14,14
37,37
40,40
33,33
80,70
33,33
79,79
0,0
0,0
60,60
85,85
0,0
37,37
88,87
50,57
60,60
41,41
0,0
85,85
0,0
37,37
0,0
25,25
89,89
50,50
55,60
41,41
0,0
73,73
85,85
50,50
85,85
50,50
63,65
91,92
81,81
64,64
75,75
33,33
33,33
87,87
42,42
0,0
,50
,70
69,
0,
48,
88,
,50
,0
,52
,66
,80
,36
80,
36,
76,76
77,77
33,33
80,80
33,33
91,91
0,0
0,0
52,52
0,0
0,0
72,72
85,85
50,50
76,76
35,46
17,17
39,39
81,77
47,44
0,0
57,74
33,75
33,33
50,50
50,50
78,80
86,88
44,44
30,30
22,22
0,0
79,83
12,12
66,62
0,0
0,0
86,86
50,50
77,77
0,0
0,0
0,0
0,0
53,54
58,58
94,94
58,58
0,0
57,57
0,0
0,0
98,98
0,0
75,75
0,0
85,85
50,50
82,82
33,33
0,0
56,56
74,68
,0
25,40
82,86
60,50
33,33
81,81
60,60
81,81
50,50
0,0
30,30
77,77
88,88
16,16
0,0
12,12
71,71
72,72
71,70
0,0
0,0
79,79
0,0
0,0
80,80
33,33
58,63
0,0
,0
65,60
75,76
25,25
33,33
65,43
75,75
0,0
61,61
33,33
71,71
91,91
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
76,76
0,0
0,0
50,50
0,0
0,0
0,0
0,0
0,0
89,89
0,0
0,0
0,0
0,0
0,0
63,63
0,0
0,0
0,0
0,0
0,0
0,0
0,0
65,65
50,37
28,14
72,75
0,0
37,37
50,50
0,0
0,0
25,25
44,44
7,6
0,0
47,47
0,0
0,0
0,0
0,0
0,0
94,94
0,0
0,0
0,0
0,0
0,0
90,90
0,0
25,25
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
40,40
66,66
0,0
5,12
0,0
73,73
0,0
0,0
0,0
0,0
0,0
,0
0,
,0
65,65
0,0
0,0
0,0
0,0
,0
0,
,0
0,0
37,37
0,0
0,0
0,0
69,69
0,0
0,0
0,0
0,0
0,0
70,70
0,0
0,0
0,0
0,0
0,0
0,0
53,53
0,0
0,0
0,0
72,74
0,0
0,0
0,0
0,0
,0
,0
0,
,0
57,61
,0
0,0
0,
79,80
0,50
,0
,0
,33
,0
0,41
,0
58,41
0,0
0,0
0,0
0,0
,0
0,
56,64
0,0
0,0
,0
0,
0,
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
0,0
72,74
0,0
50,53
0,0
0,0
33,55
36,50
72,75
0,0
40,40
0,0
58,
,58
62,62
0,0
0,0
0,0
93,93
0,0
58,58
0,0
0,0
0,0
0,0
0,0
0,0
83,83
0,0
72,72
0,0
0,0
33,33
0,0
0,0
0,0
94,94
0,0
0,0
0,0
0,0
0,0
0,0
25,25
0,0
0,0
0,0
0,0
0,0
0,0
0,0
25,25
69,69
0,0
0,0
64,65
,28
66,66
0,0
37,37
50,50
0,0
0,0
0,0
0,0
7,7
0,0
50,50
0,0
0,0
0,0
90,90
92,92
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
,0
75,83
0,0
60,60
50,62
0,0
0,0
0,0
,0
,0
0,0
,0
,0
,0
,0
,0
48,55
41,33
25,19
16,14
33,60
7,7
50,47
0,0
,0
0,0
57,65
0,0
0,0
33,33
0,0
75,75
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
92,92
33,43
62,62
70,70
87,83
0,0
0,0
0,0
58,58
84,85
0,0
0,0
0,0
0,0
50,50
0,0
50,50
,50
75,75
,0
0,0
79,79
83,83
0,0
60,65
0,0
0,0
0,0
0,0
0,0
0,0
87,88
0,0
89,90
100,
,100
0,0
0,0
0,0
0,0
0,0
31,31
,63
64,
0,0
33,33
