Before,After
102,123
,7
,13
,9
83,82
59,59
213,204
10,8
10,8
15,13
10,8
57,57
113,113
129,128
123,123
55,54
20,20
235,231
63,63
137,135
66,66
79,77
233,232
15,15
102,102
86,87
192,192
62,62
15,15
9,9
11,11
19,19
107,107
106,106
226,227
73,73
35,27
49,49
117,105
92,92
5,5
5,5
91,91
103,103
57,57
197,197
95,95
79,78
54,53
205,217
51,51
18,18
23,23
84,87
526,526
23,23
5,5
5,5
8,8
21,21
9,9
32,32
9,9
5,5
8,8
9,9
287,294
286,287
39,43
16,20
41,45
16,20
23,27
31,41
306,295
,310
,25
,19
,8
421,
25,
8,
19,
331,344
749,763
20,20
102,102
44,
83,67
9,9
264,366
52,52
41,41
129,130
5,5
14,5
49,89
5,5
5,5
13,21
423,423
35,35
123,134
9,9
9,9
228,226
182,202
,4
,21
28,33
22,
654,664
54,54
62,70
72,75
288,287
12,12
43,43
159,150
30,105
12,12
127,131
242,223
13,13
329,297
80,80
350,350
28,28
168,168
141,141
108,108
153,153
12,12
15,15
78,78
177,177
151,151
85,85
50,50
77,77
22,22
52,52
50,50
130,130
,30
,12
57,59
129,129
258,258
278,278
50,50
61,61
34,34
367,367
30,30
116,116
180,180
164,164
134,134
33,33
802,811
64,64
55,55
50,50
36,40
80,83
18,18
19,19
96,96
568,570
545,547
9,9
891,929
,5
6,
5,6
,5
5,
5,5
,5
5,
,5
5,
,5
5,
,5
6,
5,6
,5
5,5
5,5
6,
5,6
,5
5,
,5
5,5
6,6
5,5
5,5
5,5
5,5
5,5
5,5
5,5
5,5
5,5
5,5
5,5
209,251
4,4
160,199
243,243
26,26
100,100
273,274
483,483
397,442
,5
,5
141,178
8,12
21,
,21
,4
,29
,28
78,98
1394,1398
28,28
264,266
121,121
17,17
5,5
4,4
380,380
5,5
5,5
12,12
4,4
4,4
4,4
5,5
4,4
5,5
60,91
,9
,21
,21
141,141
4,4
4,4
4,4
4,4
19,61
238,238
17,17
198,198
10,10
10,10
4,4
10,10
637,637
13,13
6,6
6,6
6,6
5,5
6,6
6,6
4,4
4,4
5,5
4,4
174,165
230,233
113,113
74,81
14,14
1150,1150
6,6
506,506
,26
9,15
108,116
237,276
366,374
638,663
4,4
483,483
269,271
787,791
25,25
11,11
4,4
322,322
357,404
15,15
22,22
225,331
22,22
185,196
38,41
57,121
,38
,18
,177
,21
93,93
125,123
94,98
648,655
23,23
5,5
137,137
19,19
59,59
232,232
240,265
5,5
5,5
902,909
304,303
260,268
427,427
5,5
55,55
58,63
162,166
13,13
5,5
5,5
8,8
5,5
5,5
5,5
10,10
5,5
40,
6,
11,
6,
11,7
15,
30,30
83,84
6,6
5,5
5,5
5,5
8,12
224,234
,7
7,
,7
29,29
98,92
6,6
7,7
8,8
29,23
38,42
53,58
4,4
4,4
4,4
4,4
4,4
,4
4,
,4
,9
9,
13,38
,6
,6
20,20
247,247
22,22
4,4
4,4
5,5
4,4
4,4
4,4
5,5
4,4
4,4
5,5
13,14
155,152
6,14
,6
9,
5,5
13,13
9,9
10,10
13,13
227,221
5,5
5,5
13,13
13,13
15,15
5,5
32,32
22,22
5,5
4,4
397,399
257,258
20,20
61,61
10,10
5,5
10,10
5,5
9,9
6,6
7,8
5,5
10,10
65,84
24,29
66,71
4,4
37,33
68,76
24,20
98,105
97,97
20,20
15,15
10,10
10,10
9,9
9,9
71,69
11,9
7,7
7,7
30,31
39,42
294,308
35,29
60,63
71,71
315,351
46,48
33,33
269,271
12,12
133,133
9,9
9,9
10,10
9,9
10,10
5,5
5,5
114,114
20,20
15,15
10,10
10,10
10,10
9,9
10,10
111,46
5,
67,
30,77
,13
,4
389,418
6,6
,18
70,79
276,254
45,45
18,
5,5
5,5
10,10
10,10
5,5
5,5
5,5
4,4
5,5
22,22
7,7
5,5
5,5
7,6
39,42
6,6
,19
,19
24,27
,18
47,40
4,4
,8
,8
28,33
32,42
6,6
476,479
,6
6,
6,6
106,119
1,1
11,11
1,1
11,11
1,1
12,11
,1
,12
11,11
1,1
11,11
1,1
14,14
1,1
14,14
1,1
84,90
5,5
5,5
5,5
5,5
5,5
5,5
5,5
15,14
,6
32,32
28,28
22,22
538,539
6,6
6,6
39,43
29,29
351,341
50,70
33,33
271,271
12,12
,200
,9
,43
,5
,55
,11
,10
,5
223,244
45,45
17,18
5,
,5
5,
10,
,5
,10
,10
5,
10,
,5
5,5
5,5
,4
,5
,5
5,
5,
,5
87,88
64,
,62
146,145
273,272
5,5
3,3
582,581
149,148
271,270
5,5
1,1
1,1
9,9
126,125
46,45
61,60
0,0
0,0
0,0
0,0
0,0
0,0
123,122
96,95
8,8
13,13
551,550
302,301
84,84
630,629
8,8
1357,1361
,29
38,48
6,6
1180,1203
822,832
27,27
2059,2101
1461,1480
501,507
417,422
564,577
77,77
102,107
14,14
78,78
8,8
12,12
43,51
32,32
51,51
42,42
136,146
13,13
30,30
233,246
228,231
6,6
6,6
14,14
12,12
9,9
347,424
357,394
119,126
5,5
5,5
5,5
153,152
224,224
10,10
506,621
,80
27,27
18,18
39,53
54,55
48,60
5,5
90,95
103,111
45,54
132,133
193,192
7,
38,49
,14
47,59
5,5
5,5
69,61
7,
72,73
93,94
5,5
137,143
218,222
92,93
130,134
35,35
314,322
5,5
5,5
5,5
5,5
246,248
51,82
,24
15,
,15
241,244
11,11
12,12
19,19
58,60
12,14
4,4
216,214
14,14
9,9
80,81
28,29
522,525
17,17
16,16
24,24
8,8
5,5
5,5
8,8
175,175
7,7
38,39
8,8
16,16
505,584
11,11
,23
,27
17,17
5,5
24,24
5,5
5,5
8,8
14,14
26,26
5,5
27,27
21,21
27,27
21,21
27,27
20,20
20,20
18,18
5,5
,172
,29
287,287
24,24
8,8
176,
33,
,200
,9
,7
,15
94,86
27,27
36,36
36,36
23,23
15,
25,
254,
113,
36,
16,
36,
174,
263,
476,
188,
360,
91,
48,
168,
66,
101,
6,
6,
6,
15,
5,
45,
10,
18,
14,
45,
15,
38,
24,
25,
23,
13,
8,
122,
23,
29,
73,73
15,15
8,8
102,102
16,16
38,
37,37
8,8
,99
,38
652,652
31,31
20,20
33,33
9,9
8,8
6,6
6,6
39,39
88,88
15,15
4,4
178,178
17,17
178,178
19,19
48,48
8,8
5,5
183,183
19,19
96,99
121,122
4,4
10,10
37,37
6,6
184,184
,11
,14
,2
,19
62,63
43,42
83,84
100,100
4,4
51,51
76,76
6,6
102,158
4,4
188,190
19,23
561,573
31,31
59,61
833,824
8,8
139,139
98,108
103,103
155,174
58,63
392,400
19,27
29,29
33,33
71,71
183,202
4,4
60,69
688,688
70,70
217,217
281,281
67,67
353,353
27,27
