Before,After
102.0,123.0
83.0,82.0
59.0,59.0
213.0,204.0
10.0,8.0
10.0,8.0
15.0,13.0
10.0,8.0
57.0,57.0
113.0,113.0
129.0,128.0
123.0,123.0
55.0,54.0
20.0,20.0
235.0,231.0
63.0,63.0
137.0,135.0
66.0,66.0
79.0,77.0
233.0,232.0
15.0,15.0
102.0,102.0
86.0,87.0
192.0,192.0
62.0,62.0
15.0,15.0
9.0,9.0
11.0,11.0
19.0,19.0
107.0,107.0
106.0,106.0
226.0,227.0
73.0,73.0
35.0,27.0
49.0,49.0
117.0,105.0
92.0,92.0
5.0,5.0
5.0,5.0
91.0,91.0
103.0,103.0
57.0,57.0
197.0,197.0
95.0,95.0
79.0,78.0
54.0,53.0
205.0,217.0
51.0,51.0
18.0,18.0
23.0,23.0
84.0,87.0
526.0,526.0
23.0,23.0
5.0,5.0
5.0,5.0
8.0,8.0
21.0,21.0
9.0,9.0
32.0,32.0
9.0,9.0
5.0,5.0
8.0,8.0
9.0,9.0
287.0,294.0
286.0,287.0
39.0,43.0
16.0,20.0
41.0,45.0
16.0,20.0
23.0,27.0
31.0,41.0
306.0,295.0
331.0,344.0
749.0,763.0
20.0,20.0
102.0,102.0
83.0,67.0
9.0,9.0
264.0,366.0
52.0,52.0
41.0,41.0
129.0,130.0
5.0,5.0
14.0,5.0
49.0,89.0
5.0,5.0
5.0,5.0
13.0,21.0
423.0,423.0
35.0,35.0
123.0,134.0
9.0,9.0
9.0,9.0
228.0,226.0
182.0,202.0
28.0,33.0
654.0,664.0
54.0,54.0
62.0,70.0
72.0,75.0
288.0,287.0
12.0,12.0
43.0,43.0
159.0,150.0
30.0,105.0
12.0,12.0
127.0,131.0
242.0,223.0
13.0,13.0
329.0,297.0
80.0,80.0
350.0,350.0
28.0,28.0
168.0,168.0
141.0,141.0
108.0,108.0
153.0,153.0
12.0,12.0
15.0,15.0
78.0,78.0
177.0,177.0
151.0,151.0
85.0,85.0
50.0,50.0
77.0,77.0
22.0,22.0
52.0,52.0
50.0,50.0
130.0,130.0
57.0,59.0
129.0,129.0
258.0,258.0
278.0,278.0
50.0,50.0
61.0,61.0
34.0,34.0
367.0,367.0
30.0,30.0
116.0,116.0
180.0,180.0
164.0,164.0
134.0,134.0
33.0,33.0
64.0,64.0
55.0,55.0
50.0,50.0
36.0,40.0
80.0,83.0
18.0,18.0
19.0,19.0
96.0,96.0
568.0,570.0
545.0,547.0
9.0,9.0
5.0,6.0
5.0,5.0
5.0,6.0
5.0,5.0
5.0,5.0
5.0,6.0
5.0,5.0
6.0,6.0
5.0,5.0
5.0,5.0
5.0,5.0
5.0,5.0
5.0,5.0
5.0,5.0
5.0,5.0
5.0,5.0
5.0,5.0
5.0,5.0
5.0,5.0
209.0,251.0
4.0,4.0
160.0,199.0
243.0,243.0
26.0,26.0
100.0,100.0
273.0,274.0
483.0,483.0
397.0,442.0
141.0,178.0
8.0,12.0
78.0,98.0
28.0,28.0
264.0,266.0
121.0,121.0
17.0,17.0
5.0,5.0
4.0,4.0
380.0,380.0
5.0,5.0
5.0,5.0
12.0,12.0
4.0,4.0
4.0,4.0
4.0,4.0
5.0,5.0
4.0,4.0
5.0,5.0
60.0,91.0
141.0,141.0
4.0,4.0
4.0,4.0
4.0,4.0
4.0,4.0
19.0,61.0
238.0,238.0
17.0,17.0
198.0,198.0
10.0,10.0
10.0,10.0
4.0,4.0
10.0,10.0
637.0,637.0
13.0,13.0
6.0,6.0
6.0,6.0
6.0,6.0
5.0,5.0
6.0,6.0
6.0,6.0
4.0,4.0
4.0,4.0
5.0,5.0
4.0,4.0
174.0,165.0
230.0,233.0
113.0,113.0
74.0,81.0
14.0,14.0
6.0,6.0
506.0,506.0
9.0,15.0
108.0,116.0
237.0,276.0
366.0,374.0
638.0,663.0
4.0,4.0
483.0,483.0
269.0,271.0
25.0,25.0
11.0,11.0
4.0,4.0
322.0,322.0
357.0,404.0
15.0,15.0
22.0,22.0
225.0,331.0
22.0,22.0
185.0,196.0
38.0,41.0
57.0,121.0
93.0,93.0
125.0,123.0
94.0,98.0
648.0,655.0
23.0,23.0
5.0,5.0
137.0,137.0
19.0,19.0
59.0,59.0
232.0,232.0
240.0,265.0
5.0,5.0
5.0,5.0
304.0,303.0
260.0,268.0
427.0,427.0
5.0,5.0
55.0,55.0
58.0,63.0
162.0,166.0
13.0,13.0
5.0,5.0
5.0,5.0
8.0,8.0
5.0,5.0
5.0,5.0
5.0,5.0
10.0,10.0
5.0,5.0
11.0,7.0
30.0,30.0
83.0,84.0
6.0,6.0
5.0,5.0
5.0,5.0
5.0,5.0
8.0,12.0
224.0,234.0
29.0,29.0
98.0,92.0
6.0,6.0
7.0,7.0
8.0,8.0
29.0,23.0
38.0,42.0
53.0,58.0
4.0,4.0
4.0,4.0
4.0,4.0
4.0,4.0
4.0,4.0
13.0,38.0
20.0,20.0
247.0,247.0
22.0,22.0
4.0,4.0
4.0,4.0
5.0,5.0
4.0,4.0
4.0,4.0
4.0,4.0
5.0,5.0
4.0,4.0
4.0,4.0
5.0,5.0
13.0,14.0
155.0,152.0
6.0,14.0
5.0,5.0
13.0,13.0
9.0,9.0
10.0,10.0
13.0,13.0
227.0,221.0
5.0,5.0
5.0,5.0
13.0,13.0
13.0,13.0
15.0,15.0
5.0,5.0
