Before,After
12,13
,1
,4
,1
3,3
10,10
15,15
1,1
1,1
1,1
1,1
4,4
20,20
14,14
13,13
8,8
3,3
23,23
4,4
16,16
7,7
13,13
24,24
2,2
11,11
6,6
11,11
1,1
2,2
1,1
1,1
4,4
6,6
18,18
25,25
5,5
7,5
7,7
6,5
6,6
1,1
1,1
10,10
15,15
4,4
16,16
9,9
9,9
2,2
13,16
3,3
4,4
4,4
4,4
22,22
2,2
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
25,26
14,14
3,3
4,5
3,3
4,5
4,5
4,5
21,20
,38
,3
,3
,1
22,
3,
1,
4,
19,20
30,30
4,4
6,6
6,
4,3
31,31
22,22
31,31
7,7
27,27
28,28
3,1
10,10
1,1
1,1
6,6
38,38
1,1
12,12
2,2
2,2
12,12
7,7
,1
,1
8,9
1,
11,11
6,6
8,10
9,10
4,4
1,1
2,2
17,17
5,10
3,3
6,6
11,10
2,2
9,9
3,3
7,7
9,9
5,5
7,7
14,14
24,24
3,3
2,2
2,2
6,6
5,5
4,4
2,2
3,3
1,1
2,2
2,2
18,18
,5
,3
3,3
9,9
9,9
14,14
2,2
6,11
4,4
9,9
7,7
6,6
8,8
1,1
5,5
2,2
12,12
1,1
3,3
3,3
3,3
3,3
3,3
3,3
7,7
3,3
19,19
1,1
32,34
,1
1,
1,1
,1
1,
1,1
,1
1,
,1
1,
,1
1,
,1
1,
1,1
,1
1,1
1,1
1,
1,1
,1
1,
,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
12,15
1,1
3,4
4,4
4,4
9,9
23,23
79,79
25,25
,1
,1
10,7
1,1
1,
,1
,1
,3
,3
4,5
63,63
3,3
77,77
5,5
2,2
1,1
1,1
21,21
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
7,10
,1
,6
,6
5,5
1,1
1,1
1,1
1,1
4,5
12,12
3,3
7,7
1,1
1,1
1,1
1,1
22,22
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
