Before,After
18,23
,1
,4
,1
9,9
11,11
32,32
1,1
1,1
2,2
1,1
10,10
24,24
28,28
17,17
8,8
3,3
34,34
10,10
30,30
7,7
14,14
38,38
2,2
14,14
21,21
29,29
1,1
2,2
1,1
1,1
4,4
18,18
19,19
44,44
11,11
10,7
10,10
19,17
17,17
1,1
1,1
18,18
6,6
8,8
37,37
18,18
16,16
5,5
26,29
7,7
3,3
4,4
4,4
49,49
4,4
1,1
1,1
2,2
1,1
2,2
1,1
2,2
1,1
2,2
2,2
60,62
45,46
3,3
4,5
3,3
4,5
4,5
6,8
56,53
,48
,4
,3
,1
68,
4,
1,
4,
53,55
114,115
4,4
16,16
8,
4,3
1,1
51,72
10,10
7,7
35,35
1,1
3,1
5,14
1,1
1,1
3,5
86,86
7,7
22,26
2,2
2,2
50,49
28,29
,1
,6
8,9
6,
25,25
10,10
17,20
17,18
68,68
2,2
8,8
32,30
5,24
3,3
17,17
64,60
2,2
27,27
6,6
29,29
9,9
38,38
20,20
23,23
40,40
3,3
2,2
9,9
31,31
32,32
13,13
11,11
14,14
3,3
7,7
9,9
32,32
,5
,3
3,3
28,28
60,60
62,62
11,11
13,13
6,6
38,38
7,7
23,23
27,27
3,3
30,30
3,3
108,109
1,1
7,7
13,13
4,5
21,22
4,4
4,4
18,18
3,3
111,111
2,2
34,36
,1
1,
1,1
,1
1,
1,1
,1
1,
,1
1,
,1
1,
,1
1,
1,1
,1
1,1
1,1
1,
1,1
,1
1,
,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
13,16
1,1
3,4
19,19
6,6
20,20
59,60
112,112
83,93
,1
,1
13,10
1,1
5,
,5
,1
,5
,4
13,16
271,272
8,8
49,50
5,5
2,2
1,1
1,1
31,31
1,1
1,1
3,3
1,1
1,1
1,1
1,1
1,1
1,1
11,14
,2
,6
,6
11,11
1,1
1,1
1,1
1,1
4,5
28,28
4,4
15,15
2,2
2,2
1,1
2,2
35,35
3,3
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
33,31
16,17
25,25
11,12
3,3
184,184
1,1
73,73
,6
2,3
28,29
55,64
64,65
71,74
2,2
112,112
51,51
55,55
4,4
2,2
1,1
23,23
55,65
4,4
4,4
38,64
4,4
26,29
10,11
14,19
,9
,3
,11
,4
17,17
10,10
18,19
99,101
6,6
1,1
8,8
5,5
7,7
33,33
19,23
1,1
1,1
140,141
65,65
48,50
19,19
1,1
8,8
7,7
17,18
2,2
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
2,
1,
1,
1,
1,1
2,
5,5
12,13
1,1
1,1
1,1
1,1
1,2
41,41
,1
1,
,1
7,7
5,5
1,1
1,1
1,1
1,1
3,3
