Before,After
18.0,23.0
9.0,9.0
11.0,11.0
32.0,32.0
1.0,1.0
1.0,1.0
2.0,2.0
1.0,1.0
10.0,10.0
24.0,24.0
28.0,28.0
17.0,17.0
8.0,8.0
3.0,3.0
34.0,34.0
10.0,10.0
30.0,30.0
7.0,7.0
14.0,14.0
38.0,38.0
2.0,2.0
14.0,14.0
21.0,21.0
29.0,29.0
1.0,1.0
2.0,2.0
1.0,1.0
1.0,1.0
4.0,4.0
18.0,18.0
19.0,19.0
44.0,44.0
11.0,11.0
10.0,7.0
10.0,10.0
19.0,17.0
17.0,17.0
1.0,1.0
1.0,1.0
18.0,18.0
6.0,6.0
8.0,8.0
37.0,37.0
18.0,18.0
16.0,16.0
5.0,5.0
26.0,29.0
7.0,7.0
3.0,3.0
4.0,4.0
4.0,4.0
49.0,49.0
4.0,4.0
1.0,1.0
1.0,1.0
2.0,2.0
1.0,1.0
2.0,2.0
1.0,1.0
2.0,2.0
1.0,1.0
2.0,2.0
2.0,2.0
60.0,62.0
45.0,46.0
3.0,3.0
4.0,5.0
3.0,3.0
4.0,5.0
4.0,5.0
6.0,8.0
56.0,53.0
53.0,55.0
114.0,115.0
4.0,4.0
16.0,16.0
4.0,3.0
1.0,1.0
51.0,72.0
10.0,10.0
7.0,7.0
35.0,35.0
1.0,1.0
3.0,1.0
5.0,14.0
1.0,1.0
1.0,1.0
3.0,5.0
86.0,86.0
7.0,7.0
22.0,26.0
2.0,2.0
2.0,2.0
50.0,49.0
28.0,29.0
8.0,9.0
25.0,25.0
10.0,10.0
17.0,20.0
17.0,18.0
68.0,68.0
2.0,2.0
8.0,8.0
32.0,30.0
5.0,24.0
3.0,3.0
17.0,17.0
64.0,60.0
2.0,2.0
27.0,27.0
6.0,6.0
29.0,29.0
9.0,9.0
38.0,38.0
20.0,20.0
23.0,23.0
40.0,40.0
3.0,3.0
2.0,2.0
9.0,9.0
31.0,31.0
32.0,32.0
13.0,13.0
11.0,11.0
14.0,14.0
3.0,3.0
7.0,7.0
9.0,9.0
32.0,32.0
3.0,3.0
28.0,28.0
60.0,60.0
62.0,62.0
11.0,11.0
13.0,13.0
6.0,6.0
38.0,38.0
7.0,7.0
23.0,23.0
27.0,27.0
3.0,3.0
30.0,30.0
3.0,3.0
108.0,109.0
1.0,1.0
7.0,7.0
13.0,13.0
4.0,5.0
21.0,22.0
4.0,4.0
4.0,4.0
18.0,18.0
3.0,3.0
111.0,111.0
2.0,2.0
34.0,36.0
1.0,1.0
1.0,1.0
1.0,1.0
1.0,1.0
1.0,1.0
1.0,1.0
1.0,1.0
1.0,1.0
1.0,1.0
1.0,1.0
1.0,1.0
1.0,1.0
1.0,1.0
1.0,1.0
1.0,1.0
1.0,1.0
1.0,1.0
1.0,1.0
1.0,1.0
13.0,16.0
1.0,1.0
3.0,4.0
19.0,19.0
6.0,6.0
20.0,20.0
59.0,60.0
112.0,112.0
83.0,93.0
13.0,10.0
1.0,1.0
13.0,16.0
8.0,8.0
49.0,50.0
5.0,5.0
2.0,2.0
1.0,1.0
1.0,1.0
31.0,31.0
1.0,1.0
1.0,1.0
3.0,3.0
1.0,1.0
1.0,1.0
1.0,1.0
1.0,1.0
1.0,1.0
1.0,1.0
11.0,14.0
