Before,After
69.0,71.0
0.0,100.0
0.0,0.0
0.0,0.0
33.0,33.0
19.0,19.0
13.0,13.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
16.0,16.0
86.0,86.0
0.0,0.0
0.0,0.0
80.0,77.0
44.0,44.0
66.0,66.0
62.0,62.0
18.0,18.0
57.0,57.0
82.0,82.0
88.0,88.0
0.0,0.0
0.0,0.0
8.0,8.0
68.0,68.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
38.0,38.0
71.0,71.0
42.0,42.0
57.0,57.0
21.0,19.0
57.0,57.0
56.0,52.0
54.0,54.0
0.0,0.0
0.0,0.0
9.0,9.0
73.0,73.0
50.0,50.0
0.0,0.0
22.0,22.0
22.0,22.0
0.0,0.0
80.0,84.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
75.0,75.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
78.0,77.0
78.0,78.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
75.0,80.0
0.0,0.0
88.0,87.0
0.0,66.0
0.0,0.0
0.0,0.0
0.0,0.0
62.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
68.0,66.0
85.0,85.0
0.0,0.0
56.0,56.0
16.0,0.0
0.0,0.0
0.0,0.0
69.0,69.0
0.0,0.0
0.0,0.0
85.0,84.0
0.0,0.0
33.0,0.0
8.0,8.0
0.0,0.0
0.0,0.0
33.0,50.0
84.0,84.0
0.0,0.0
55.0,55.0
0.0,0.0
0.0,0.0
83.0,83.0
39.0,39.0
0.0,0.0
0.0,0.0
70.0,75.0
0.0,0.0
85.0,85.0
50.0,50.0
58.0,54.0
53.0,57.0
41.0,41.0
0.0,0.0
0.0,0.0
65.0,65.0
0.0,0.0
0.0,0.0
66.0,66.0
72.0,70.0
0.0,0.0
61.0,61.0
50.0,50.0
55.0,55.0
62.0,62.0
0.0,0.0
71.0,71.0
48.0,48.0
37.0,37.0
33.0,33.0
0.0,0.0
50.0,50.0
54.0,54.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
57.0,57.0
0.0,0.0
0.0,0.0
0.0,0.0
48.0,48.0
48.0,48.0
71.0,71.0
100.0,100.0
0.0,0.0
25.0,25.0
61.0,61.0
42.0,42.0
33.0,33.0
37.0,37.0
0.0,0.0
31.0,31.0
0.0,0.0
41.0,41.0
0.0,0.0
0.0,0.0
38.0,38.0
50.0,50.0
0.0,0.0
33.0,33.0
50.0,50.0
42.0,42.0
100.0,100.0
73.0,73.0
0.0,0.0
79.0,80.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
33.0,25.0
45.0,45.0
37.0,37.0
57.0,57.0
0.0,0.0
91.0,91.0
84.0,84.0
0.0,0.0
0.0,0.0
30.0,42.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,33.0
0.0,33.0
0.0,0.0
88.0,88.0
0.0,0.0
85.0,85.0
50.0,50.0
0.0,0.0
0.0,0.0
0.0,0.0
90.0,90.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
42.0,46.0
0.0,0.0
0.0,0.0
0.0,0.0
70.0,70.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
78.0,78.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
88.0,88.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
66.0,63.0
0.0,0.0
80.0,80.0
56.0,56.0
33.0,33.0
89.0,89.0
0.0,0.0
87.0,87.0
0.0,66.0
0.0,0.0
47.0,51.0
82.0,83.0
67.0,67.0
